Project,Title,Agreement Date,Start Date Planned,Start Date Actual,End Date Planned,End Date Actual,Year,Sector,Focus Area,Zone,State,LGA,Funding Source,Funding Agencies,Implementer,Project Cost (USD),Committed (USD),Disbursed (USD),Autocoder ADM2 Geonames Matches,Autocoder ADM1 Geonames Matches,Autocoder Country Geonames Match
NGA/000247,Electricity & gas Improvement,11/05/2010,21/07/2010,,31/12/2014,, Unplanned; 2010; 2011; 2012; 2013; 2014,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,World Bank,World Bank, Unspecified,"300,000,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000248,Mobiliisation for MDGs,,10/03/2011,01/09/2011,31/12/2017,31/03/2018,2011; 2012; 2013; 2014; 2015; 2016; 2017; 2018,Government,Improving Local Governance,North Western,Kano,  Unspecified,United Kingdom (DFID),United Kingdom (DFID),GRM international,"18,188,000",,,,"'Kano State', '2335196'","'Federal Republic of Nigeria', '2328926'"
NGA/000249,Support to Anti Corruption in Nigeria,23/11/2012,23/11/2012,,28/08/2018,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017; 2018,Government,Anticorruption Enforcement,North Central ,"Federal Capital Territory, Abuja",AbujaMun,European Commission,European Commission,United Nations Office on Drugs & Crime (UNODC),"35,000,000","34,000,000","4,897,342",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000250,Support to Nigeria's Electoral Cycle 2012-2015,17/10/2012,17/10/2012,,30/06/2017,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017,Electoral Process,Natioanl Election Administration; State Election administration,North Eastern ; North Central ,"Adamawa; Federal Capital Territory, Abuja",Guyuk; AbujaMun,European Commission,European Commission,UNDP,"20,000,000","19,100,000","5,395,093","'Guyuk', '8659806'","'Adamawa State', '2565342'","'Federal Republic of Nigeria', '2328926'"
NGA/000251,Response to Drugs and related organised crime in Nigeria,14/12/2012,14/12/2012,,30/11/2018,, Unplanned; 2012; 2013; 2014; 2015; 2016; 2017; 2018,Government,Capacity Building in Government,North Central ,"Federal Capital Territory, Abuja",AbujaMun,European Commission,European Commission,United Nations Office on Drugs & Crime (UNODC),"35,000,000","34,500,000","6,786,969",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000252,EU Support to the Justice Sector,27/06/2012,27/12/2012,,26/06/2016,, Unplanned; 2012; 2013; 2014; 2015; 2016,Judiciary Reform,  Unspecified,North Central ,"Federal Capital Territory, Abuja",AbujaMun,European Commission,European Commission,United Nations Office on Drugs & Crime (UNODC),"25,000,000","25,000,000","5,099,472",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000253,LAGOS URBAN TRANSPORT PROJECT LUTP II,25/11/2011,10/10/2010,10/10/2010,10/10/2012,10/10/2014, Unplanned; 2010; 2011; 2012,Energy and Environment,  Unspecified,South Western,Lagos,  Unspecified,France,AFD, Unspecified,"100,000,000",,,,"'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000254,SECOND NATIONAL URBAN WATER SECTOR REFORM PROJECT NUWSRP II,26/11/2012,26/11/2012,26/11/2012,31/05/2016,31/05/2016,2012; 2013; 2014; 2015; 2016,  Unspecified,  Unspecified,South Western; South South,Cross River; Lagos,  Unspecified,France,AFD,Water Resources/State Water Board PIUs,"77,730,000",,,,"'Cross River State', '2345891'; 'Lagos State', '2332453'","'Federal Republic of Nigeria', '2328926'"
NGA/000255,Projects Preparatory Fund (PPF),08/11/2000,08/11/2000,08/11/2000,31/12/2014,31/12/2014,2000,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,France,AFD, Unspecified,,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000257,UTF/NIR/055/NIR Small holder Agro -based industrial Production: Demostration and Training of farmers for Improved Rice Production in Benue State,,01/06/2010,02/02/2011,31/05/2011,01/02/2013,2010; 2011; 2012; 2013,Agriculture,Agro-Industrial development,North Central ,Benue,Agatu,United Nations,Food & Agriculture Organisation (FAO), Unspecified,"200,000",,,"'Agatu', '7730398'","'Benue State', '2347266'","'Federal Republic of Nigeria', '2328926'"
NGA/000258,Rice production,06/07/2011,27/07/2011,03/08/2011,01/07/2013,31/07/2013,2011; 2012; 2013,Agriculture,Agro-Industrial development,North Central ,Benue,Agatu,United Nations,UNDP,UNDP,"200,000",,,"'Agatu', '7730398'","'Benue State', '2347266'","'Federal Republic of Nigeria', '2328926'"
NGA/000259,NIR/12/001/01/99 Technical Assistance for Design and Support of Irrigation Schemes in Ekiti,,20/11/2012,13/02/2013,19/10/2013,15/12/2013,2013,Agriculture,Agricultural sector Productivity,South Western,Ekiti,Ikole; Moba,United Nations,UNDP,Food & Agriculture Organisation (FAO),"440,000","440,000","180,000","'Ikole', '8636737'; 'Moba', '8636733'","'Ekiti State', '2595346'","'Federal Republic of Nigeria', '2328926'"
NGA/000260,TCP/NIR/3403; Strengthening National Seed Systems in Nigeria.,,03/06/2013,,31/07/2015,,2013,Agriculture,Agricultural resource Policy; Agricultural sector Productivity,North Eastern ; North Western; North Central ; South Eastern; South Western,Benue; Borno; Ebonyi; Jigawa; Kaduna; Katsina; Niger; Ogun; Ondo; Sokoto; Yobe,  Unspecified,United Nations,Food & Agriculture Organisation (FAO),Fed. Ministry of Agriculture,,,,,"'Benue State', '2347266'; 'Borno State', '2346794'; 'Ebonyi State', '2595345'; 'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Katsina State', '2334797'; 'Niger State', '2328925'; 'Ogun State', '2327546'; 'Ondo State', '2326168'; 'Sokoto State', '2322907'; 'Yobe State', '2597367'","'Federal Republic of Nigeria', '2328926'"
NGA/000261,OSRO/NIR/301/CHA  Life-saving support for fisheries producers,09/01/2013,08/02/2013,19/02/2013,31/07/2013,, Unplanned; 2013,Agriculture,Agricultural sector Productivity,North Eastern ; North Western; North Central ; South South,Adamawa; Bayelsa; Delta; Edo; Kebbi; Niger; Plateau; Taraba,Fufore; Girie; Lamurde; Michika; Numan; Shelleng; Yola North; Yola South; Brass; Ekeremor; Kolokuma/Opokuma; Nembe; Sagbama; Yenegoa; Bomadi; Burutu; IsokoNor; IsokoSou; Ndokwa East; Ndokwa West; Oshimili South; Patani; Ughelli South; EsanSout; Etsako Central; EtsakoEa; Argungu; Ngaski; Shanga; Yauri; Agaie; Bida; Borgu; Bosso; Gbako; Lavun; Magama; Mokwa; Jos North; Langtang North; Mangu; Pankshin; Wase; Gassol; Ibi; Jalingo; Lau; Wukari,United Nations,United Nations Office for Project Services (UNOPS),Food & Agriculture Organisation (FAO),"995,380","995,380","762,335","'Fufore', '7729966'; 'Larmurde', '8659807'; 'Michika', '8659798'; 'Numan', '8659808'; 'Shelleng', '8659805'; 'Yola North', '8659811'; 'Yola South', '8659812'; 'Brass', '8638097'; 'Ekeremor', '8638070'; 'Kolokuma/Opokuma', '8638091'; 'Nembe', '8638095'; 'Sagbama', '8638073'; 'Yenegoa', '8638087'; 'Bomadi', '8638006'; 'Burutu', '8638005'; 'Buruku Local Government Area', '9485483'; 'Ndokwa East', '7729925'; 'Ndokwa West', '7729927'; 'Ndokwa West', '7729927'; 'Ndokwa East', '7729925'; 'Oshimili South', '7729934'; 'Oshimili North', '7729931'; 'Patani', '8638007'; 'Ughelli South', '7729939'; 'Ughelli North', '7729938'; 'Etsako Central', '8636775'; 'Argungu', '8632707'; 'Ngaski', '7730012'; 'Shanga', '8631808'; 'Yauri', '7730013'; 'Yauri Local Government Area', '9492098'; 'Agaie', '7729982'; 'Bida', '7729985'; 'Borgu', '7729987'; 'Bosso', '8634919'; 'Gbako', '7730015'; 'Lavun', '7730021'; 'Magama', '7701433'; 'Mokwa', '7701434'; 'Jos North', '8634514'; 'Langtang North', '8634507'; 'Langtang South', '8634539'; 'Mangu', '8634509'; 'Pankshin', '7730022'; 'Wase', '8634508'; 'Gassol', '8659778'; 'Ibi', '8659777'; 'Jalingo', '8659775'; 'Lau', '8659772'; 'Wukari', '8659780'","'Adamawa State', '2565342'; 'Bayelsa State', '2595344'; 'Delta State', '2565341'; 'Edo', '2565343'; 'Kebbi State', '2597363'; 'Niger State', '2328925'; 'Plateau State', '2324828'; 'Taraba State', '2597366'","'Federal Republic of Nigeria', '2328926'"
NGA/000262,UTF/NIR/056 SUSTAINABLE FISHERIES,07/12/2011,10/01/2012,26/01/2012,31/12/2013,,2012; 2013,Agriculture,Agricultural sector Productivity,North Central ; South Western,Kogi; Ondo,  Unspecified; Kabba/Bu; Lokoja,United Nations,Food & Agriculture Organisation (FAO),Fed. Ministry of Agriculture,"200,000","200,000","112,000","'Lokoja', '8637590'","'Kogi State', '2597364'; 'Ondo State', '2326168'","'Federal Republic of Nigeria', '2328926'"
NGA/000263,"TCP/NIR/3402 Support Evidence-Based Decision Making through impact analysis of policy options for sustainable development, food s",01/08/2012,10/01/2012,18/01/2013,31/12/2013,, Unplanned; 2012; 2013,Agriculture,Agricultural sector Productivity,  Unspecified,  Unspecified,  Unspecified,United Nations,Food & Agriculture Organisation (FAO),Fed. Ministry of Agriculture,"471,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000264,Strenghtening National Capacity for Conflict Prevention and Peace Building,06/02/2013,11/02/2013,11/02/2013,31/12/2013,31/12/2013, Unplanned; 2013,Government,Technical and Institutional Support,North Central ,Benue; Plateau,  Unspecified,United Nations,UNDP,UNDP,"867,000",,,,"'Benue State', '2347266'; 'Plateau State', '2324828'","'Federal Republic of Nigeria', '2328926'"
NGA/000265,TCP NIR 3302n  Strengthening of Plantain and Banana Production in Nigeria for Domestic Consumption and Export,30/11/2010,30/11/2010,04/01/2011,09/10/2012,,2010; 2011; 2012,Agriculture,  Unspecified,South Eastern; South Western; South South,Abia; Cross River; Delta; Oyo,  Unspecified,United Nations,Food & Agriculture Organisation (FAO), Unspecified,0,,,,"'Abia State', '2565340'; 'Cross River State', '2345891'; 'Delta State', '2565341'; 'Oyo State', '2325190'","'Federal Republic of Nigeria', '2328926'"
NGA/000266,Support to Improve Governance in the Niger Delta,28/01/2013,29/01/2013,04/02/2013,31/12/2013,31/12/2013, Unplanned; 2013,Government,Government Reform,  Unspecified,  Unspecified,  Unspecified,United Nations,UNDP,UNDP,418,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000267,FGN-UNICEF BASIC EDUCATION PROGRAMME,02/04/2009,01/01/2009,01/01/2009,31/12/2013,31/12/2013,2009; 2010; 2011; 2012; 2013,  Unspecified,  Unspecified,Nationwide,,,UNICEF,UNICEF, Unspecified,"59,907,089",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000268,"Education Data, Research and Evaluation in Nigeria (EDOREN)",11/03/2013,11/03/2013,11/03/2013,13/03/2017,13/03/2017,2013; 2014; 2015; 2016; 2017,Education,  Unspecified,North Western; North Central ; South Eastern; South Western,Enugu; Jigawa; Kaduna; Kano; Katsina; Kwara; Lagos; Niger; Sokoto; Zamfara,  Unspecified,United Kingdom (DFID),United Kingdom (DFID),Oxford policy Management OPM,"10,482,180","10,482,180","1,360,426",,"'Enugu State', '2565344'; 'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Kano State', '2335196'; 'Katsina State', '2334797'; 'Kwara State', '2332785'; 'Lagos State', '2332453'; 'Niger State', '2328925'; 'Sokoto State', '2322907'; 'Zamfara State', '2595349'","'Federal Republic of Nigeria', '2328926'"
NGA/000269,Teachers Development Programme (TDP),09/08/2013,18/09/2013,18/09/2013,30/08/2019,30/08/2019,2013; 2014; 2015; 2016; 2017; 2018; 2019,Education,  Unspecified,North Western,Jigawa; Kaduna; Kano; Katsina; Zamfara,  Unspecified,United Kingdom (DFID),United Kingdom (DFID),Cambridge Education,"64,989,517","64,989,516","6,250,828",,"'Jigawa State', '2565345'; 'Kaduna State', '2335722'; 'Kano State', '2335196'; 'Katsina State', '2334797'; 'Zamfara State', '2595349'","'Federal Republic of Nigeria', '2328926'"
NGA/000270,Promoting Increased Participation of Women in Politics,01/04/2013,01/04/2013,01/04/2013,31/12/2014,31/12/2014,2013; 2014,Women's Empowerment,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Oxfam,Oxfam,Oxfam,"199,261","199,261","162,857",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000271,My Question and My Answer Mobile,01/02/2012,01/02/2012,,31/12/2013,,2012; 2013,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,Oxfam,Oxfam, Unspecified,"350,000",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000272,Sexual Reproductive Health and Right Education among young people in Nigeria (SRHR),01/04/2011,01/04/2011,,31/03/2014,,2011; 2012; 2013; 2014,  Unspecified,  Unspecified,North Eastern ; North Western; North Central ; South Eastern; South Western,Adamawa; Ekiti; Gombe; Imo; Kano; Katsina; Kwara,  Unspecified,Oxfam,Oxfam,Oxfam,"379,356","379,356","284,517",,"'Adamawa State', '2565342'; 'Ekiti State', '2595346'; 'Gombe State', '2595347'; 'Imo State', '2337542'; 'Kano State', '2335196'; 'Katsina State', '2334797'; 'Kwara State', '2332785'","'Federal Republic of Nigeria', '2328926'"
NGA/000273,POP Culture with a Purpose (PC WAP),01/09/2011,01/09/2011,,30/11/2014,, Unplanned; 2011; 2012; 2013; 2014,Gender Equality,  Unspecified,South South,Edo,  Unspecified,Oxfam,Oxfam,Oxfam,"159,430","159,430","92,710",,"'Edo', '2565343'","'Federal Republic of Nigeria', '2328926'"
NGA/000274,Promoting Quality of Education through increased Women Participation in School Governance Q-SCHGOV,02/01/2012,02/01/2012,,02/12/2013,,2012; 2013,Education,  Unspecified,North Western,Kebbi,  Unspecified,Oxfam,Oxfam,Oxfam,"312,850","312,850","154,498",,"'Kebbi State', '2597363'","'Federal Republic of Nigeria', '2328926'"
NGA/000276,CHILD PROTECTION,02/02/2009,02/02/2009,,31/12/2013,, Unplanned; 2009; 2010; 2011; 2012; 2013,Child Protection,  Unspecified,  Unspecified,  Unspecified,  Unspecified,UNICEF,UNICEF,UNICEF,"5,664,361","5,664,361","5,533,189",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000277,Children HIV and AIDS,05/01/2009,06/01/2012,,31/12/2012,, Unplanned; 2012,Health,  Unspecified,Nationwide,,,UNICEF,UNICEF,UNICEF,"4,340,179","4,340,179","4,338,190",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000278,"FGN-UNICEF Water  Supply, Sanitation and Hygiene (WASH) Programme",06/01/2012,06/01/2012,,31/12/2012,, Unplanned; 2012,Water Sanitation and Hygiene,  Unspecified,Nationwide,,,UNICEF,UNICEF,UNICEF,"37,000,000","37,000,000","28,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000279,Health Nutrition (Nutrition Section),02/01/2012,02/01/2012,,31/12/2013,, Unplanned; 2012; 2013,Health,Other,Nationwide,,,UNICEF,UNICEF,UNICEF,"14,307,146","14,307,146","14,261,236",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000280,"Planning, Monitoring, Evaluation and Field Coordination (PME  & FC)",05/01/2009,05/01/2009,,31/12/2013,,2009; 2010; 2011; 2012; 2013,Government,Technical and Institutional Support,Nationwide,,,UNICEF,UNICEF,UNICEF,"575,992","575,992","572,079",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000281,BASIC EDUCATION,02/01/2012,02/01/2012,,31/12/2012,, Unplanned; 2012,Education,  Unspecified,Nationwide,,,UNICEF,UNICEF,UNICEF,"10,520,000","10,520,000","10,470,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000282,HEALTH,02/01/2012,02/01/2012,,31/12/2012,,2012,Health,Other,Nationwide,,,UNICEF,UNICEF,UNICEF,"34,283,694","34,283,694","34,283,694",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000283,Zenith  Bank 2nd Lines of Credit (LOC),01/04/2006,01/04/2007,01/04/2007,30/11/2014,,2007,  Unspecified,  Unspecified,  Unspecified,  Unspecified,  Unspecified,AFDB Group,AFDB, Unspecified,,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000284,NIGERIA AGRICULTURAL TRANSFORMATION AGENDA SUPPORT PROGRAM - PHASE 1 (ATASP-1),02/09/2013,02/09/2013,,30/09/2019,,2013,  Unspecified,  Unspecified,Nationwide,,,AFDB Group,AFDB, Unspecified,,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000285,Nigeria  – Transport Sector and Economic Governance Reform Program (TSEGRP),01/01/2013,01/01/2013,,31/12/2015,,2013,  Unspecified,  Unspecified,Nationwide,,,AFDB Group,AFDB, Unspecified,,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000286,Urban Water Supply and Sanitation Improvement Project in Oyo and Taraba States,,02/01/2012,,30/04/2016,,2012,  Unspecified,  Unspecified,Nationwide,,,AFDB Group,AFDB, Unspecified,,,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000287,"FGN-UNICEF Water, Sanitation and Hygiene (WASH) Programme",13/03/2009,01/01/2009,01/01/2009,31/12/2013,31/12/2013,2009; 2010; 2011; 2012; 2013,Water Sanitation and Hygiene,  Unspecified,Nationwide,,,UNICEF,UNICEF, Unspecified,"93,548,138",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000288,FGN- UNICEF Health and Nutrition Programme,03/03/2009,01/01/2009,02/01/2009,31/12/2013,31/12/2013,2009; 2010; 2011; 2012; 2013,Health,  Unspecified,Nationwide,,,UNICEF,UNICEF, Unspecified,"217,507,581",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000289,FGN-UNICEF Child Protection Programme,02/03/2009,01/01/2009,02/01/2009,31/12/2013,31/12/2013,2009; 2010; 2011; 2012; 2013,Child Protection,  Unspecified,Nationwide,,,UNICEF,UNICEF, Unspecified,"55,434,307",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000290,Yam Improvement for Incomes and Food Security in West Africa,14/09/2011,14/09/2011,,31/08/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"13,008,413","8,885,890","6,666,685",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000291,Yam Improvement for Incomes and Food Security in West Africa,14/09/2011,14/09/2011,,31/08/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"13,008,413","9,005,889","6,666,685",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000292,Yam Improvement for Incomes and Food Security in West Africa,14/09/2011,14/09/2011,,31/08/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"13,008,413",,,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000293,Yam Improvement for Incomes and Food Security in West Africa,14/09/2011,14/09/2011,,31/08/2016,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"13,008,413","13,008,413","6,666,685",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000294,RAC for OFSP: Reaching Agents of Change for Orange-Fleshed Sweetpotato in SSA.  0.3 GH,20/05/2011,20/05/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"6,499,991","1,624,998","6,499,991",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000295,RAC for OFSP: Reaching Agents of Change for Orange-Fleshed Sweetpotato in SSA.  0.3 GH,20/05/2011,20/05/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"6,499,991","1,624,998","6,499,991",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000296,RAC for OFSP: Reaching Agents of Change for Orange-Fleshed Sweetpotato in SSA.  0.3 GH,20/05/2011,20/05/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"6,499,991","1,624,998","6,499,991",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000297,RAC for OFSP: Reaching Agents of Change for Orange-Fleshed Sweetpotato in SSA.  0.3 GH,20/05/2011,20/05/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"6,499,991","1,624,998","6,499,991",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000298,RAC for OFSP: Reaching Agents of Change for Orange-Fleshed Sweetpotato in SSA.  0.3 GH,20/05/2011,20/05/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"6,499,991","1,624,998","6,499,991",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000299,RAC for OFSP: Reaching Agents of Change for Orange-Fleshed Sweetpotato in SSA.  0.3 GH,20/05/2011,20/05/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Potato Center,"6,499,991","1,624,998","6,499,991",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000300,TL II P 2: Tropical Legumes II Phase 2,02/09/2011,02/09/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Crops Research Institute for the Semi-Arid Tropics,"21,000,000","840,000","21,000,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000301,TL II P 2: Tropical Legumes II Phase 2,02/09/2011,02/09/2011,,30/09/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Crops Research Institute for the Semi-Arid Tropics,"21,000,000","462,000",,,,"'Federal Republic of Nigeria', '2328926'"
NGA/000302,ISMA: Achieving sustainable Striga control for poor farmers in Africa,01/04/2011,01/04/2011,,31/03/2015,, Unplanned; 2011; 2012; 2013; 2014; 2015,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"6,759,003","3,379,502","5,512,561",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000303,ISMA: Achieving sustainable Striga control for poor farmers in Africa,01/04/2011,01/04/2011,,31/03/2015,, Unplanned; 2011; 2012; 2013; 2014; 2015,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"6,759,003","6,083,103","5,512,561",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000304,ISMA: Achieving sustainable Striga control for poor farmers in Africa,01/04/2011,01/04/2011,,31/03/2015,, Unplanned; 2011; 2012; 2013; 2014; 2015,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"6,759,003","6,759,003","5,512,561",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000305,Aflatoxin contamination prevention and control in grain,10/05/2011,10/05/2011,,31/12/2013,, Unplanned; 2011; 2012; 2013,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"1,319,661","765,404","1,319,661",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000306,Aflatoxin contamination prevention and control in grain,10/05/2011,10/05/2011,,31/12/2013,, Unplanned; 2011; 2012; 2013,Agriculture,Research and Technology,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"1,319,661","765,403","1,319,661",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000307,Aflatoxin contamination prevention and control in grain,10/05/2011,10/05/2011,,31/12/2013,, Unplanned; 2011; 2012; 2013,  Unspecified,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Institute of Tropical Agriculture,"1,319,661","1,319,661","1,319,661",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000308,RENEWAL of OPP52727: Global Futures and CGIAR Strategic Foresight Program Phase 2,12/09/2013,12/09/2013,,30/09/2016,, Unplanned; 2013; 2014; 2015; 2016,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Food Policy Research Institute,"4,996,466","1,571,635","1,665,489",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000309,Reinvestment OPP49064: Protecting Livestock Saving Human Life,15/11/2011,15/11/2011,,30/06/2017,, Unplanned; 2011; 2012; 2013; 2014; 2015; 2016; 2017,  Unspecified,  Unspecified,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Global Alliance For Livestock Veterinary Medicines,"41,222,104","1,571,635","16,636,014",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000310,Support for next steps in the CAADP Process: Country Investment and Monitoring of Investments (ReSAKSS/AGRODEP),12/11/2010,12/11/2010,,02/12/2015,, Unplanned; 2010; 2011; 2012; 2013; 2014; 2015,Agriculture,Agricultural resource Policy,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,International Food Policy Research Institute,"5,006,540","750,981","3,003,270",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000311,Certificate Program in Management and Innovation for Agribusiness Entrepreneurs,09/02/2011,09/02/2011,,31/07/2014,, Unplanned; 2011; 2012; 2013; 2014,Agriculture,Markets and Trade capacity,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,United States International University,"797,888","298,944","797,888",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000312,Measles Control and Immunization Strengthening in Partnership with Lions Clubs International,14/06/2010,14/06/2010,,14/11/2013,, Unplanned; 2010; 2011; 2012; 2013,Health,Immunisation,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Lions Clubs International Foundation,"700,000","100,000","700,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000313,Measles Control and Immunization Strengthening in Partnership with Lions Clubs International,14/06/2010,14/06/2010,,14/11/2013,, Unplanned; 2010; 2011; 2012; 2013,Health,Immunisation,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,Lions Clubs International Foundation,"700,000","100,000","700,000",,,"'Federal Republic of Nigeria', '2328926'"
NGA/000314,"Measurement, learning and evaluation (MLE) initiative: independent impact evaluation of foundation investments in MNCH in India, Ethiopia, and Nigeri",02/11/2010,02/11/2010,,31/05/2016,, Unplanned; 2010; 2011; 2012; 2013; 2014; 2015; 2016,Health,Other,Nationwide,,,Bill & Melinda Gates Foundation,Bill & Melinda Gates Foundation,London School of Hygiene and Tropical Medicine,"15,886,725","1,628,951","7,639,155",,,"'Federal Republic of Nigeria', '2328926'"
