Projet,Titre du projet,Descriptif,Année,Date d'Approbation Prévue,Date de Début Prévue,Date de Fin Prévue,Date d'Approbation Effective,Date de Début Effective,Date de Fin Effective,Agence de financement,Source de Financement,Agence d'Exécution (1er Niveau),Coût du Projet (USD),Engagement de GdB (USD),Décaissement du GdB (USD),Région,Province,Commune,A l’Echelle National,Secteur,Sous-Secteur,ADM2 Geonames Matches,ADM1 Geonames Matches,Country Geonames Match
BDI/000091,Programme de Coopération Universitaire Institutionnelle (CUI) mis en œuvre par le Conseil inter-universitaire flamand (Vlaamse Inter-universitaire Raad -VLIR) avec l'Université du Burundi,,Imprévu; 2010; 2011; 2012; 2013,2010-01-05,2010-01-05,2013-04-30,2010-01-05,2010-01-05,2013-04-30,Belgique,Belgique,VLIR: Vlaamse Interuniversitaire Raad,"1,592,154",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,EDUCATION,Éducation post-secondaire,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000092,Etude du plan directeur pour le secteur portuaire,,Imprévu; 2009; 2011; 2012,,,2012-04-30,2009-11-30,2011-04-04,,Japan International Cooperation Agency (JICA),Japon,Agence d'Exécution de 1er Niveau non défini,"593,024",,,Sud; Ouest,Mairie de Bujumbura; Bururi,Non spécifié,Non,TRANSPORTS ET ENTREPOSAGE,Transport par voies d’eau,,"'Bururi Province', 423327","'Republic of Burundi', 433561"
BDI/000093,CIUF-CUD Coopération Universitaire Institutionnelle (CUI) 2008-2013- Université du Burundi,,Imprévu; 2009; 2011; 2012; 2013,2008-01-04,2008-09-05,2013-03-30,2009-02-04,2009-02-04,2013-03-30,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"2,177,760",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,EDUCATION,Éducation post-secondaire,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000094,"Projet de cooperation universitaire - Initiative propre 2007 - Soutien aux départements de Mathématiques et Physique de l'Université du Burundi en matière d'enseignement, recherche, agrégation et rayonnement",,Imprévu; 2011,2007-06-03,2007-06-03,2013-12-31,2011-01-01,2011-01-01,2011-12-31,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"526,761",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,EDUCATION,Éducation post-secondaire,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000095,"Enfants, victimes des conflits dans la région des Grands Lacs sont acceptés dans leur communauté",,Imprévu; 2011; 2012; 2013,,,2013-12-31,2011-01-01,,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"565,894",,,Ouest; Centre-Est,Mairie de Bujumbura; Gitega,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Enfants soldats (Prévention et démobilisation),,"'Gitega Province', 426271","'Republic of Burundi', 433561"
BDI/000096,Supporting Communities for Peaceful Elections (SCOPE),,Imprévu; 2010; 2011,,,2011-07-31,2010-01-01,2010-04-01,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"590,000",,,Ouest,Bujumbura Rural,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Élections,,"'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000097,Amélioration des capacités de gestion du partenaire,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,Rode Kruis-Vlaanderen Internationaal - RKVI,"660,708",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Renforcement de la société civile,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000098,Amélioration de la santé publique de base pour le groupe cible dans la zone d'intervention,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,Rode Kruis-Vlaanderen Internationaal - RKVI,"648,048",,,Ouest,Bubanza,Non spécifié,Non,SANTE,Santé de base,,"'Bubanza Province', 428514","'Republic of Burundi', 433561"
BDI/000099,Les populations dans les zones d'intervention ont diminué leur vulnérabilité à l'insécurité alimentaire et augmenté leurs revenus dans le respect de l'environnement - Burundi,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,LOUVAIN DEVELOPMENT,"609,849",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,AIDE HUMANITAIRE,Intervention d’urgence,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000100,"De 2011 à 2013, des travailleurs et travailleuses au Burundi bénéficient de d'une protection sociale améliorée, impulsent de bonnes politiques publiques en matière de droits sociaux, de protection sociale et accèdent aux emplois dignes.",,Imprévu; 2011; 2012; 2013,2008-06-05,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,Solidarités,"857,224",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Administration gouvernementale,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000101,"READAPTATION: Les personnes en situation de handicap améliorent leur état de santé, leur fonctionnalité ou leur niveau d'autonomie",,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,Handicap International Belgique,"1,721,006",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000102,Registration and Civic sensitization of Batwa,,Imprévu; 2012,,2012-02-04,2013-04-30,,,,United States Agency for International Development,États Unis d'Amérique,Agence d'Exécution de 1er Niveau non défini,"200,000",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Renforcement de la société civile,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000103,ONG Service Laïque de Coopération au Développement - SLCD - programme 2011-2014 / Burundi,,Imprévu; 2011,,,2014-12-31,2011-01-01,,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"340,020",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Renforcement de la société civile,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000104,Accès et gestion durable de l'eau dans la région des Grands Lacs,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,PROTOS,"638,429",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,DISTRIBUTION D’EAU ET ASSAINISSEMENT,Distribution d’eau potable de base et assainissement de base,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000105,"Les capacités de la Croix-Rouge du Burundi sont améliorées: réduction des risques et réponses aux catastrophes, protection de l'enfant, diffusion des normes humanitaires et gestion administrative et financière",,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,Croix Rouge de Belgique,"1,937,795",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Gestion et réforme des systèmes de sécurité,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000106,"KIRYAMA, ''L'intelligence des mains'' - Renforcement de l'enseignement technique par la modernisation des ateliers et l'accompagnement des enseignants",,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,"Association for Cultural, Technical and Educational Cooperation - ACTEC/STUDEV","417,782",,,Sud,Bururi,Non spécifié,Non,CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES,En faveur des ONG internationales,,"'Bururi Province', 423327","'Republic of Burundi', 433561"
BDI/000107,Renforcement des capacités d'un réseau d'acteurs de changement social,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-03-21,2013-12-31,2011-01-01,2011-03-21,2013-12-31,Belgique,Belgique,Solidarité Socialiste FDC,"1,150,629",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES,En faveur des ONG internationales,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000108,Un impact politique par 19 partenaires en Afrique Centrale sur des thèmes du service de politique de 11.11.11,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,KOEPEL 11.11.11,"1,491,973",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES,En faveur des ONG nationales,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000109,Agriculture paysanne durable - Burundi,,Imprévu; 2011; 2012; 2013,2011-01-07,2011-01-07,2014-06-30,2011-01-07,2011-01-07,2014-06-30,Belgique,Belgique,Entraide et Fraternité,"557,066",,,Ouest,Bujumbura Rural,Non spécifié,Non,CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES,En faveur des ONG internationales,,"'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000110,Offre de service d'enseignement et formation intégrale dans le sous-secteur Skills Development,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,DON BOSCO,"290,738",,,Nord,Ngozi,Non spécifié,Non,EDUCATION,Formation des enseignants,,"'Ngozi Province', 430567","'Republic of Burundi', 433561"
BDI/000111,"Geestelijke gezondheidszorg aan personen die nood hebben aan psychosociale zorg, psychiatrie of verslavingszorg binnen de Regio van de Grote Meren",,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"795,539",,,Ouest,Mairie de Bujumbura,Kamenge,Non,SANTE,"Santé, général","'Kamenge', 7670925",,"'Republic of Burundi', 433561"
BDI/000112,Développement rural au Burundi,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,Broederlijk Delen (BD),"1,745,005",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Gitega,Non spécifié,Non,DESTINATION PLURI-SECTO-RIELLE OU TRANSVERSALE,Développement rural,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Gitega Province', 426271","'Republic of Burundi', 433561"
BDI/000113,Pour une justice conciliatrice et de proximité - RCN Justice & Démocratie,,Imprévu; 2011; 2013,2011-01-07,2011-01-07,2013-06-30,2011-01-07,2011-01-07,2013-06-30,Belgique,Belgique,RCN Justice et Démocratie,"1,689,390",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Droits de la personne,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000114,Lutte conte la lèpre et la tuberculose,,Imprévu; 2011; 2012; 2013,2011-01-01,2011-01-01,2013-12-31,2011-01-01,2011-01-01,2013-12-31,Belgique,Belgique,DAM FONDAM,"1,021,071",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,SANTE,Lutte contre les maladies infectieuses,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000115,Renforcement des capacités des familles et des communautés pour le respect des droits fondamentaux des orphelins et enfants vulnérables à Gitega,,Imprévu; 2011; 2012,2011-01-01,2012-12-31,2013-04-30,2011-01-01,2012-12-31,2013-04-30,Belgique,Belgique,SOS Kinderdorf International,"269,276",,,Centre-Est,Gitega,Non spécifié,Non,CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES,En faveur des ONG internationales,,"'Gitega Province', 426271","'Republic of Burundi', 433561"
BDI/000116,"Contribuer à l établissement d'un environnement légal favorable, qui promeut les droits de la personne humaine à travers l'élimination des violences sexuelles",,Imprévu; 2011; 2013,2011-01-19,2011-06-16,2013-06-15,2011-05-01,2011-06-16,2013-06-15,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"423,970",,,Ouest; Centre-Est,Mairie de Bujumbura; Gitega,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,"Gouvernement et société civile, général",,"'Gitega Province', 426271","'Republic of Burundi', 433561"
BDI/000117,Acquérir plus de compétences et d autonomie par: le renforcement des capacités de l'AHD siège - le renforcement des capacités des ateliers des Groupements de l'AHD - la création d'un centre de perfectionnement permanent à Bujumbura,,Imprévu; 2011; 2013; 2014,2011-01-19,2011-04-15,2014-04-14,2011-03-01,2011-04-15,2014-04-14,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"425,026",,,Ouest,Bujumbura Rural,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Renforcement de la société civile,,"'Bujumbura Rural Province', 7303940","'Republic of Burundi', 433561"
BDI/000118,Mission d'orientation Santé reproductive,,Imprévu; 2012,,,2012-01-04,,2012-03-18,,Pays Bas,Pays-Bas,Agence d'Exécution de 1er Niveau non défini,"27,633",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,SANTE,Santé de base,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000119,Etude des modalités de mise en oeuvre du FMCA (Fonds de Micro-Crédit Agricole),,Imprévu; 2012,2012-01-01,2012-03-19,2012-06-15,2012-01-01,2012-03-19,2012-06-15,Pays Bas,Pays-Bas,Agence d'Exécution de 1er Niveau non défini,"59,504",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,BANQUES ET SERVICES FINANCIERS,Intermédiaires financiers officiels,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
BDI/000120,Promotion pour la bonne gouvernance socio-économique locale et renforcement des capacités organisationnelles de l'OLUCOME,,Imprévu; 2011; 2012,2011-01-19,2011-04-21,2013-04-20,2011-04-01,2011-04-21,2013-12-31,Belgique,Belgique,OLUCOM,"359,660",,,Sud; Ouest; Nord,Kayanza; Rutana; Muramvya; Bururi; Cibitoke,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Renforcement de la société civile,,"'Kayanza Province', 430951; 'Rutana Province', 434147; 'Muramvya Province', 425550; 'Bururi Province', 423327; 'Cibitoke Province', 430020","'Republic of Burundi', 433561"
BDI/000121,Appui aux producteurs de fruits pour mettre aux marché des fruits frais ou transformés,,Imprévu; 2011,2009-01-04,2009-05-18,2015-03-31,2011-05-01,,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"716,183",,,Sud; Ouest,Bururi; Cibitoke,Non spécifié,Non,AGRICULTURE,Production agricole,,"'Bururi Province', 423327; 'Cibitoke Province', 430020","'Republic of Burundi', 433561"
BDI/000122,Soutien à l'Observatoire INEZA des droits des Enfants (OIEDB),,Imprévu; 2011,,,,2011-12-01,,,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"316,816",,,Non spécifié,Non spécifié,Non spécifié,Non,GOUVERNEMENT ET SOCIETE CIVILE,Droits de la personne,,,"'Republic of Burundi', 433561"
BDI/000124,Soutien au Centre d'Alerte et de la Prévention des Conflits,,Imprévu; 2011,2006-03-12,2007-01-29,2011-10-14,2011-11-01,2011-11-01,2011-10-14,Belgique,Belgique,Agence d'Exécution de 1er Niveau non défini,"272,016",,,Sud; Ouest; Centre-Est; Nord,Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi,Non spécifié,Oui,GOUVERNEMENT ET SOCIETE CIVILE,Renforcement de la société civile,,"'Kayanza Province', 430951; 'Muyinga Province', 431747; 'Ngozi Province', 430567; 'Cankuzo Province', 427700; 'Bubanza Province', 428514; 'Rutana Province', 434147; 'Province de Mwaro', 434386; 'Kirundo Province', 432455; 'Muramvya Province', 425550; 'Bujumbura Rural Province', 7303940; 'Ruyigi Province', 426699; 'Bururi Province', 423327; 'Makamba Province', 422233; 'Gitega Province', 426271; 'Cibitoke Province', 430020; 'Karuzi Province', 428218","'Republic of Burundi', 433561"
